0,127015,000876,10.600,1.600,400000.0000,7.42,13.78,20200709,106.0000,20260103,127015,94943.9600,20200204,76.26,AAA,AAA
0,128095,002812,66.260,1.500,160000.0000,46.38,86.14,20200817,110.0000,20260211,128095,45309.8100,20200228,71.68,AA,AA
0,128097,002614,9.750,1.500,120000.0000,6.83,12.68,20200902,110.0000,20260225,128097,45829.7400,20200318,61.81,AA-,AA-
0,123044,300427,7.080,1.800,58500.0000,4.96,9.20,20200918,118.0000,20260312,123044,54922.0400,20200413,6.11,A+,A+
0,128101,002036,13.690,1.500,30000.0000,9.58,17.80,20200921,110.0000,20260316,128101,29884.0200,20200413,0.39,AA,AA
0,128105,002616,7.910,1.500,80000.0000,5.54,10.28,20201015,110.0000,20260409,128105,79942.5900,20200513,0.07,AA-,AA-
0,123048,300527,8.860,1.500,81893.0000,6.20,11.52,20201016,108.0000,20260410,123048,37895.9600,20200511,53.72,AA+,AA+
0,128106,002840,8.820,1.500,55000.0000,6.17,11.47,20201016,108.0000,20260410,128106,27547.5500,20200508,49.91,AA,AA
0,123049,300190,7.230,1.800,91724.0000,5.06,9.40,20201019,118.0000,20260413,123049,91698.0000,20200512,0.03,A+,A+
0,123050,300303,4.880,1.500,70469.0000,3.42,6.34,20201020,118.0000,20260414,123050,37456.6500,20200515,46.85,AA-,AA-
0,127016,000726,8.630,1.500,140000.0000,6.04,11.22,20201015,111.0000,20260409,127016,139984.9400,20200513,0.01,AA+,AA+
0,128108,002382,17.840,1.500,314404.0000,12.49,23.19,20201203,108.0000,20260528,128108,152077.7700,20200619,51.63,AA,AA
0,127017,000789,12.400,1.500,100000.0000,8.68,16.12,20201209,113.0000,20260603,127017,99959.3300,20200702,0.04,AA+,AA+
0,128109,002171,8.230,1.500,183000.0000,5.76,10.70,20201210,110.0000,20260604,128109,182252.2500,20200623,0.41,AA,AA
0,123054,300608,9.890,1.800,27100.0000,6.92,12.86,20201216,115.0000,20260610,123054,16733.9000,20200706,38.25,AA-,AA-
0,128114,002157,3.060,1.500,160000.0000,2.14,3.98,20201223,110.0000,20260617,128114,2915.9300,20200715,98.18,CC,CC
0,123056,300511,11.150,1.500,58500.0000,7.81,13.38,20210104,115.0000,20260624,123056,58400.1900,20200724,0.17,AA-,AA-
0,128116,002961,29.000,1.500,65000.0000,20.30,37.70,20210104,110.0000,20260629,128116,64912.8300,20200724,0.13,AA,AA
0,128118,002861,21.350,1.800,30000.0000,14.95,27.76,20210108,115.0000,20260702,128118,29953.4600,20200805,0.16,A+,A+
0,128117,002838,27.910,1.500,36000.0000,19.54,36.28,20210108,118.0000,20260702,128117,35832.5100,20200720,0.47,AA-,AA-
0,128119,002726,9.300,1.500,95000.0000,6.51,12.09,20210118,115.0000,20260713,128119,94605.6700,20200807,0.42,AA-,AA-
0,127019,000688,21.200,1.500,85000.0000,14.84,27.56,20210121,110.0000,20260715,127019,84865.5800,20200810,0.16,AA,AA
0,123059,300231,9.450,1.500,39140.0000,6.62,12.29,20210121,118.0000,20260715,123059,39073.6500,20200812,0.17,AA-,AA-
0,128120,002921,17.440,1.800,26000.0000,12.21,22.67,20210125,112.0000,20260717,128120,25945.3200,20200817,0.21,A,A
